               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.032021,           0.0088944,                   0,             0.72207,             0.61858,             0.64033,             0.27172,            0.041923,           0.0050057,                   0,           0.0005446,           0.0005446,           0.0005446
                  48,            0.032337,           0.0084832,                   0,             0.71504,             0.61905,             0.64702,             0.27332,            0.042294,           0.0049742,                   0,           0.0005347,           0.0005347,           0.0005347
                  49,             0.03221,           0.0083495,                   0,             0.72298,              0.6369,             0.65328,             0.27334,            0.042691,           0.0049478,                   0,           0.0005248,           0.0005248,           0.0005248
                  50,            0.032189,           0.0082096,                   0,             0.69094,             0.60714,             0.64082,             0.27525,            0.042153,           0.0049313,                   0,           0.0005149,           0.0005149,           0.0005149
                  51,            0.032055,           0.0085249,                   0,             0.71126,             0.60118,             0.63317,             0.27345,            0.042151,             0.00493,                   0,            0.000505,            0.000505,            0.000505
                  52,            0.032049,           0.0085018,                   0,             0.73347,             0.62248,             0.63849,             0.27562,            0.042626,           0.0049223,                   0,           0.0004951,           0.0004951,           0.0004951
                  53,            0.031748,           0.0088096,                   0,             0.73181,             0.61905,             0.64847,             0.27514,            0.042363,           0.0049543,                   0,           0.0004852,           0.0004852,           0.0004852
                  54,            0.032003,           0.0088737,                   0,             0.72089,             0.60714,             0.63945,             0.27403,            0.042523,           0.0049459,                   0,           0.0004753,           0.0004753,           0.0004753
                  55,             0.03226,           0.0084534,                   0,             0.70405,             0.60119,             0.65827,             0.27926,            0.041983,           0.0049529,                   0,           0.0004654,           0.0004654,           0.0004654
                  56,            0.031751,           0.0086274,                   0,             0.71708,             0.60119,             0.64226,             0.27524,            0.042108,            0.004923,                   0,           0.0004555,           0.0004555,           0.0004555
                  57,            0.031697,           0.0088228,                   0,               0.694,             0.60119,             0.64044,             0.27687,            0.041728,           0.0049189,                   0,           0.0004456,           0.0004456,           0.0004456
                  58,            0.031605,           0.0082895,                   0,              0.7304,             0.60714,             0.64223,             0.28068,            0.041791,           0.0049312,                   0,           0.0004357,           0.0004357,           0.0004357
                  59,            0.030753,           0.0081112,                   0,             0.73204,             0.60119,             0.65532,             0.28321,            0.041528,           0.0048814,                   0,           0.0004258,           0.0004258,           0.0004258
                  60,            0.031518,           0.0082569,                   0,              0.7143,             0.60119,             0.65078,             0.28071,            0.041716,           0.0049167,                   0,           0.0004159,           0.0004159,           0.0004159
